Name,#,Standard,2018 retro-PSEFS,2019 retro-PSEFS,2020 retro-PSEFS,2022 PSEFS (initial),2023 PSEFS (initial),2024 PSEFS (initial),Rookie Year,Encountered?,Verified by:,Date Last Verified ),Signature (Lead Only),Sign Off Date,Notes
Stealth Robotics,4089,,-,-,-,3,1,2,2012,Y,,,,,
Error-4104,4104,,-,-,-,-,-,-,2012,Y,,,,,
DEEP SPACE 9'ers,4110,,-,-,-,-,-,-,2012,N,,,,,
Confidential,4125,,-,-,-,-,-,-,2012,N,,,,,
LoggerBots,4127,,-,-,-,-,-,-,2012,N,,,,,
Iron Patriots,4131,,-,-,-,3,3,2,2012,Y,,,,,
IMVERT (Mount Vernon Robotics Team),4173,,-,-,-,4,4,3,2012,Y,,,,,
Iron Riders,4180,Y,3,3,3,3,3,4,2012,Y,Isha,10/27/23,,,
ROBOCUBS,4205,,-,-,-,3,last competed 2022,7,2012,Y,,,,,last competed 2022
4-H Botsmiths,4309,,-,-,-,3,last competed 2022,7,2012,Y,,,,,
Olympia Robotics Federation,4450,,-,-,-,-,3,3,2013,Y,,,,,
Ramen,4461,,-,-,-,-,-,-,2013,N,,,,,
R.A.I.D. (Raider Artificial Intelligence Division),4469,,-,-,-,2,-,2,2013,Y,,,,,
Shockwave,4488,,-,-,-,-,-,-,2013,N,,,,,
Otter Chaos,4512,,-,-,-,3,2,3,2013,Y,,,,,
Circuit Breakers,4513,,-,-,-,-,-,-,2013,Y,,,,,
RoboEagles,4579,,-,-,-,3,-,-,2013,Y,,,,,
Byte Sized Robotics,4662,,-,-,-,-,-,-,2013,N,,,,,
Murphy's Law,4681,,-,-,-,-,3,3,2013,Y,,,,,
CyBears,4682,,-,-,-,4,4,4,2013,Y,,,,,
Full Metal Robotics,4683,,-,-,-,-,-,-,2013,N,,,,,
Metal Mallards,4692,,-,-,-,-,-,-,2013,N,,,,,
Cyber Knights,4911,,-,-,-,1,1,1,2014,Y,,,,,
Spartronics,4915,,-,-,-,-,2,2,2014,Y,,,,,
The Roboctopi,4918,,-,-,-,2,-,-,2014,Y,,,,,
Canine Crusaders,4980,,-,-,-,-,3,3,2014,Y,,,,,
LakerBots,5085,,-,-,-,last competed 2020,7,7,2014,N,,,,,
Knight Tech,5198,,-,-,-,7,7,7,2014,N,,,,,
Aldernating Current,5295,,-,-,-,-,-,-,2014,N,,,,,
SHREC,5450,,-,-,-,-,last competed 2022,7,2015,N,,,,,
Chaos Theory,5468,,-,-,-,-,-,-,2015,N,,,,,
Reign Robotics,5588,,-,-,-,2,3,4,2015,Y,,,,,
Riverside Robotics,5683,,-,-,-,-,-,4,2015,Y,,,,,
Apex Robotics,5803,,-,-,-,last competed 2020,7,7,2016,N,,,,,
Code Purple,5827,,-,-,-,3,1,3,2016,Y,,,,,
Vikotics,5920,,-,-,-,-,-,3,2016,Y,,,,,
MI Robotics,5937,,-,-,-,3,3,3,2016,Y,,,,,
Cast Iron Orcas,5941,Y,-,-,-,5,5,4,2016,Y,,,,,
Beavertronics,5970,,-,-,-,-,-,-,2016,N,,,,,
Beta Blues,5975,,-,-,-,-,-,-,2016,N,,,,,
Rosemary Rebels + POIC,5977,,-,-,-,-,-,-,2016,N,,,,,
Mustang Mechanica,6076,,-,-,-,-,-,-,2016,Y,,,,,
Steel Ridge Robotics,6343,,-,-,-,-,-,-,2017,N,,,,,
Clawbots,6350,,-,-,-,4,2,3,2017,Y,,,,,
Modern Americans,6442,,3,3,3,6,6,7,2017,N,,,,,
AEMBOT,6443,,-,-,-,1,3,1,2017,Y,,,,,
Mystic Biscuit,6465,,-,-,-,-,-,-,2017,N,,,,,
Iron Dragon,6503,,-,-,-,-,-,-,2017,N,,,,,
Cardinal Dynamics,6696,,-,-,-,-,-,-,2017,N,,,,,
A-05 Annex,6831,,Null,-,-,-,-,-,2018,N,,,,,
River Bots,6845,,Null,-,-,-,-,-,2018,N,,,,,
2B Determined,7034,,Null,-,-,-,-,-,2018,N,,,,,
ScotBots,7118,,Null,-,-,6,6,7,2018,N,,,,,
S.C. Robotics,7448,,Null,4,4,6,6,6,2019,N,isha,10/28/23,,,Pure Bunny Bots now
Sushi Squad,7461,,Null,4,-,3,2,2,2019,Y,,,,,
Bearcat Robotics,7627,,Null,4,-,-,4,3,2019,Y,,,,,
Redshift,8032,,Null,4,4,3,3,3,2020,Y,,,,,
TinkRex,8051,,Null,Null,4,4,4,4,2020,Y,,,,,
Robotics at Eastside Catholic (REC),8059,,Null,Null,4,6,6,7,2020,N,,,,,last competed 2020
SpicyBots,8138,,Null,Null,4,6,6,7,2020,N,,,,,last competed 2020
Bahlam Bots,8165,,Null,Null,4,6,6,7,2020,N,,,,,last competed 2020
ChainLynx,8248,,Null,Null,4,0,0,0,2020,Y,,,,,
Ni-Tro (formerly Beamer Team),8302,,Null,Null,4,4,3,4,2020,Y,,,,,
G0LDEN_GAT0RS,8303,,Null,Null,4,4,3,3,2020,Y,,,,,"review (3s could be 4s) [having inspected this team, 3 shoud be 4s for atleast 2023 -Isha]"
Th3_IRON_G0@+$,8386,,Null,Null,Null,4,4,4,2020,Y,,,,,review
Classified,8532,,Null,Null,Null,2,2,2,2021,N,,,,,
- \n (Linebreak),8546,,Null,Null,Null,1,2,1,2021,Y,,,,,
Excelsior360!,8631,,Null,Null,Null,6,6,7,2021,N,ishan,10/28/23,,,last competed 2021
Wolf Tech Robotics,8896,Y,Null,Null,Null,4,5,5,2022,Y,,,,,
Future Martians,9023,,Null,Null,Null,Null,3,1,2023,Y,,,,,
Ramen Robotics,9036,,Null,Null,Null,Null,3,3,2023,Y,,,,,
Miso Mechanics,9442,,Null,Null,Null,Null,Null,3,2024,Y,,,,,rookie year 2024
Velocity Raptors,9450,,Null,Null,Null,Null,Null,3,2024,Y,,,,,rookie year 2024
